state_name,district_name,block_tehsil_name,village_name,s_no_of_scheme,ref_scheme_type_surface_flow_name,ref_scheme_type_surface_lift_name,ref_scheme_owner_name,total_owners_holding,ref_scheme_owner_social_status_name,gender_name,commissioning_period_display,scheme_construction_cost,scheme_machinery_cost,scheme_maintainence_cost,finance_source_name,finance_source_name2,construction_subsidy,machinery_subsidy,scheme_status_name,not_in_use_years,scheme_status_reason_temporarily_name,scheme_status_reason_permanently_name,water_distribution_method_name,lifting_device_type_name,lifting_device_enrgy_source_name,horse_power_of_lifting_device,pump_operating_days_kharif_season,pump_operating_days_rabi_season,pump_operating_days_perennial_season,pump_operating_days_other_season,avg_pumping_per_day_kharif_season,avg_pumping_per_day_rabi_season,avg_pumping_per_day_perennial_season,avg_pumping_per_day_other_season,ref_selection_id_located_in_major_medium_scheme_name,command_area_name,ref_reason_command_area_name,ref_scheme_recharge_of_ground_water_name,culturable_command_area,ipc_kharif_season,ipc_rabi_season,ipc_perennial_season,ipc_other_season,ipc_total,ipu_kharif_season,ipu_rabi_season,ipu_perennial_season,ipu_other_season,ipu_total,ref_selection_id_under_utilisation_name,ref_reason_for_under_utilisation_name,scheme_designed_storage,ref_filled_up_storage_name,ref_filled_up_storage_space_name,villages_covered,s_no_scheme_within_village_in_water_body,total_no_of_schemes_in_village_above_water_body
ANDHRA PRADESH,ANANTHAPUR,Bommanahal,Kalludevanahalli,2,NA,On Tanks/Ponds/Reservoirs/check dams,Govt. Owned,NULL,NA,NA,During 2014-2015,200000,100000,800000,NA,NA,0,0,In-Use,NULL,NA,NA,Under ground pipe, Centrifugal Pump,Electric,7,85,100,0,0,6,7,0,NULL,Yes,NULL,NA,No,12.15,12.15,12.15,0,0,24.3,8.1,8.1,0,0,16.2,No,NA,900,Full,Usually filled up,3,1,NULL
ANDHRA PRADESH,KRISHNA,Chandarlapadu,Gudimetla,1,NA,On-River,Govt. Owned,NULL,NA,NA,Up to 2013-2014,6700000,270000,10000,NA,NA,6700000,270000,In-Use,NULL,NA,NA,Open Water Channel (lined / Pucca),Submersible pump,Electric,10,70,70,0,0,7,7,0,NULL,Yes,NULL,NA,No,485.83,485.83,485.83,0,0,971.66,485.83,485.83,0,0,971.66,No,NA,NULL,NA,NA,2,1,2
ANDHRA PRADESH,KRISHNA,Chandarlapadu,Kodavatikallu,1,NA,On-River,Govt. Owned,NULL,NA,NA,Up to 2013-2014,9500000,2500000,250000,NA,NA,0,0,In-Use,NULL,NA,NA,Open Water Channel (lined / Pucca),Submersible pump,Electric,10,70,70,0,0,7,7,0,NULL,Yes,NULL,NA,No,404.86,404.86,404.86,0,0,809.72,404.86,404.86,0,0,809.72,No,NA,NULL,NA,NA,1,1,1
ANDHRA PRADESH,KRISHNA,Chandarlapadu,Popuru,1,NA,On-River,Govt. Owned,NULL,NA,NA,Up to 2013-2014,2700000,300000,10000,NA,NA,0,0,In-Use,NULL,NA,NA,Open Water Channel (unlined / Kutcha),Submersible pump,Electric,10,70,70,0,0,7,7,0,NULL,Yes,NULL,NA,No,485.83,485.83,485.83,0,0,971.66,485.83,485.83,0,0,971.66,No,NA,NULL,NA,NA,1,1,2
ANDHRA PRADESH,KRISHNA,Chandarlapadu,Popuru,2,NA,On-River,Govt. Owned,NULL,NA,NA,Up to 2013-2014,9500000,1200000,150000,NA,NA,0,0,In-Use,NULL,NA,NA,Open Water Channel (unlined / Kutcha),Submersible pump,Electric,10,70,70,0,0,7,7,0,NULL,Yes,NULL,NA,No,404.86,404.86,404.86,0,0,809.72,404.86,404.86,0,0,809.72,No,NA,NULL,NA,NA,1,2,2
ANDHRA PRADESH,KRISHNA,Chandarlapadu,Pokkunuru,1,NA,On-River,Govt. Owned,NULL,NA,NA,Up to 2013-2014,9500000,1500000,150000,NA,NA,0,0,In-Use,NULL,NA,NA,Open Water Channel (lined / Pucca),Submersible pump,Electric,10,70,70,0,0,7,7,0,NULL,Yes,NULL,NA,No,344.13,344.13,344.13,0,0,688.26,344.13,344.13,0,0,688.26,No,NA,NULL,NA,NA,1,1,2
ANDHRA PRADESH,KRISHNA,Gampalagudem,Kanumuru,3,NA,Others,Govt. Owned,NULL,NA,NA,Up to 2013-2014,250000,50000,0,NA,NA,0,0,Temporarily Not in use,2,Less discharge of water,NA,Other,Others,Electric,10,0,0,0,0,NULL,NULL,NULL,NULL,Yes,NULL,NA,No,48.58,48.58,0,0,0,48.58,0,0,0,0,0,NA,NA,NULL,NA,NA,1,3,NULL
ANDHRA PRADESH,KRISHNA,Gampalagudem,Ummadidevarapalle,1,NA,On Tanks/Ponds/Reservoirs/check dams,Govt. Owned,NULL,NA,NA,During 2014-2015,200000,150000,25000,NA,NA,0,0,Temporarily Not in use,1,Less discharge of water,NA,Other,Others,Electric,10,0,0,0,0,NULL,NULL,NULL,NULL,Yes,NULL,NA,No,38.46,38.46,0,0,0,38.46,0,0,0,0,0,NA,NA,8,Upto 1/4,Usually filled up,1,1,NULL
ANDHRA PRADESH,KRISHNA,Chatrai,Janardhanavaram,10,NA,Others,Govt. Owned,NULL,NA,NA,Up to 2013-2014,5000,1000,0,NA,NA,0,0,Temporarily Not in use,2,Less discharge of water,NA,Other,Others,Others,5,90,60,60,20,7,6,6,6,Yes,NULL,NA,No,3.24,2.02,1.22,0,0,3.24,2.02,1.22,0,0,3.24,NA,NA,NULL,NA,NA,1,10,10
ANDHRA PRADESH,PRAKASAM,Kurichedu,Mustla Gangavaram,70,NA,On-River,Owned by individual farmer,0.275,Others,Female,Up to 2013-2014,5000,30000,0,Own savings,NA,0,0,In-Use,NULL,NA,NA,Surface pipe,Submersible pump,Electric,4.5,0,150,0,0,NULL,5,0,NULL,Yes,NULL,NA,No,0.28,0,0.28,0,0,0.28,0,0.28,0,0,0.28,Yes,Storage not filled up fully,NULL,NA,NA,1,70,NULL
